sensor,rank,channel,wavenumber_cm-1,category,category_rank,peak_pressure_hpa,introduced_at
airs,1,16,653.2105067396947,temperature,1,30.670680773259402,32
airs,2,1674,1471.9116925875521,humidity,1,241.26997064533901,32
airs,3,355,753.0590000971924,temperature,2,999.9423456733634,32
airs,4,528,820.8349293252372,window,1,,32
airs,5,215,711.0015820038506,temperature,3,525.4156877323625,32
airs,6,1382,1291.7079180426324,humidity,2,814.8073980647894,32
airs,7,168,697.7111372285891,temperature,4,266.3916721136547,32
airs,8,232,715.9403404505824,temperature,5,765.6450634507773,32
airs,9,1583,1402.1537535278155,humidity,3,506.11488296077454,32
airs,10,169,697.9884790918194,temperature,6,146.7807991024497,32
airs,11,321,742.2309426720296,temperature,7,650.1035368201636,32
airs,12,787,917.304998593511,window,2,,32
airs,13,1500,1357.2351277508074,humidity,4,650.1035368201636,32
airs,14,198,706.1355473846371,temperature,8,415.9139433288835,32
airs,15,272,727.8354687553415,temperature,9,891.6786121118214,32
airs,16,7,651.050500317942,temperature,10,86.33752654605087,32
airs,17,1740,1513.8357429551004,humidity,5,366.7888888123879,32
airs,18,186,702.7413018038527,temperature,11,321.3513017176257,32
airs,19,261,724.5198847889092,temperature,12,944.9927438414445,32
airs,20,870,948.1764367462356,window,3,,32
airs,21,1266,1218.4959944248305,humidity,6,741.693302719632,32
airs,22,216,711.292249195538,temperature,13,468.7770724342657,32
airs,23,295,734.1489199605976,temperature,14,840.0155447833259,32
airs,24,1694,1484.37127137415,humidity,7,433.1175265029067,32
airs,25,226,714.1877379778763,temperature,15,718.1625119688192,32
airs,26,190,703.8692871035134,temperature,16,366.7888888123879,32
airs,27,1519,1367.2547183520167,humidity,8,585.8540788123461,32
airs,28,1221,1114.6422396085657,window,4,,32
airs,29,162,696.0503901449216,temperature,17,175.00126769023439,32
airs,30,174,699.3796473153993,temperature,18,293.07718857939864,32
airs,31,1766,1544.4835973674735,humidity,9,307.0142235269159,32
airs,32,252,721.8390656127791,temperature,19,741.693302719632,32
airs,33,227,714.479922679843,temperature,20,672.367024711192,48
airs,34,1843,1598.4964100025554,humidity,10,468.7770724342657,48
airs,35,221,712.7390110634326,temperature,21,628.2634321730304,48
airs,36,475,801.1016564347642,window,5,,48
airs,37,172,698.8225675355525,temperature,22,106.58615920726757,48
airs,38,1748,1519.0781176124492,humidity,11,336.091113713203,48
airs,39,68,666.0168523139482,temperature,23,49.32616673448834,48
airs,40,1780,1554.0388676538269,humidity,12,279.53734381093045,48
airs,41,210,709.5642952489078,temperature,24,487.23564418681036,48
airs,42,204,707.8467890083464,temperature,25,450.7381077114507,48
airs,43,1449,1330.9766443584374,humidity,13,765.6450634507773,48
airs,44,672,871.2842404988069,window,6,,48
airs,45,111,677.0101623803763,temperature,26,68.79700579962896,48
airs,46,207,708.7035944451167,temperature,27,433.1175265029067,48
airs,47,1455,1334.609015876158,humidity,14,718.1625119688192,48
airs,48,157,694.6725170016721,temperature,28,129.70269537041642,48
iasi,1,74,663.25,temperature,1,30.670680773259402,32
iasi,2,3575,1538.5,humidity,1,229.28709916482504,32
iasi,3,410,747.25,temperature,2,999.9423456733634,32
iasi,4,739,829.5,window,1,,32
iasi,5,265,711,temperature,3,506.11488296077454,32
iasi,6,5403,1995.5,humidity,2,814.8073980647894,32
iasi,7,401,745,temperature,4,741.693302719632,32
iasi,8,219,699.5,temperature,5,279.53734381093045,32
iasi,9,3049,1407,humidity,3,525.4156877323625,32
iasi,10,375,738.5,temperature,6,865.6398111647356,32
iasi,11,199,694.5,temperature,7,146.7807991024497,32
iasi,12,1027,901.5,window,2,,32
iasi,13,4059,1659.5,humidity,4,382.75141699560356,32
iasi,14,345,731,temperature,8,628.2634321730304,32
iasi,15,306,721.25,temperature,9,382.75141699560356,32
iasi,16,252,707.75,temperature,10,450.7381077114507,32
iasi,17,4849,1857,humidity,5,672.367024711192,32
iasi,18,179,689.5,temperature,11,92.77805221179376,32
iasi,19,432,752.75,temperature,12,918.1302155396712,32
iasi,20,1194,943.25,window,3,,32
iasi,21,3599,1544.5,humidity,6,307.0142235269159,32
iasi,22,381,740,temperature,13,814.8073980647894,32
iasi,23,379,739.5,temperature,14,695.0535252736856,32
iasi,24,5381,1990,humidity,7,741.693302719632,32
iasi,25,383,740.5,temperature,15,585.8540788123461,32
iasi,26,232,702.75,temperature,16,321.3513017176257,32
iasi,27,3178,1439.25,humidity,8,450.7381077114507,32
iasi,28,1884,1115.75,window,4,,32
iasi,29,249,707,temperature,17,415.9139433288835,32
iasi,30,236,703.75,temperature,18,351.23618805142735,32
iasi,31,2958,1384.25,humidity,9,585.8540788123461,32
